Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,China,CHN,268097181064.335,242489331627.399,174749584584.051,166083755721.649,235365050036.341,187169822364.755,253095616058.58,344074977062.48,190203789092.51,42727679407.24
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,India,IND,34576643694.1383,44009492129.5319,44458571545.798,39966091358.7384,42117450737.2644,50610647353.5912,64362364994.3754,44727277562.881,49940258404.266,28078983530.3979
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Russian Federation,RUS,22031340000,6852970000,32538900000,28557440000,8784850000,31974770000,9478810000,40450000000,-39800944226.9806,-10045103795.0207
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,United States,USA,251856000000,511434000000,474388000000,380823000000,214715000000,315984000000,137066000000,475805000000,408982000000,348784000000
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Viet Nam,VNM,9200000000,11800000000,12600000000,14100000000,15500000000,16120000000,15800000000,15660000000,17900000000,18500000000
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Euro area,EMU,440538846070.609,808050935423.081,584320674968.27,556674405617.834,176533562244.697,385713267993.815,156935798332.457,513132491548.267,84247518551.7189,-313511330939.989
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 01/28/2025,,,,,,,,,,,,,
