company,RTS,RMI,RMR,RVC,sum_squared
ACB,-0.0006909691355061683,-0.1850178806700543,-0.8721087052406451,0.12097917490368847,0.8094416481228762
BCM,-0.0015090865453847209,-0.06903303544532535,-0.6387317869386662,0.3604250979375775,0.542652384194171
BID,-0.0029476849229587727,-0.3021901039746333,-0.6768888598243251,0.3230600004927992,0.653873840259287
BVH,0.0017250132002112014,0.09843133657462544,-0.5705435723369982,0.4257347388102705,0.5164617394553208
CTG,-0.0016779532472519561,-0.24421243758511113,-0.8136031589606227,0.18346935513471163,0.755253634742613
FPT,0.0028223913982623806,0.0461648745519716,-0.6007712061181635,0.394747871437576,0.5188910856407742
GAS,-0.0016896846349541592,-0.20931182356544786,-0.6503205458885288,0.3481136561409862,0.5879142245150577
GVR,-0.0017842922286756611,-0.20522707797772066,-0.6532813913852162,0.34717432983335905,0.5894279288594768
HDB,0.00038271588345413607,0.12299679487179471,-0.6375565499656595,0.36277011196542946,0.5532088665597065
HPG,-0.000403939903038451,-0.14216794813809785,-0.8077004927767255,0.19376041400017874,0.710135072710528
LPB,0.0005653568857101694,0.04376367614879606,-0.6761113775184883,0.32224426224536795,0.5628835383384742
MBB,-0.0009299169586713393,-0.16401468788249685,-0.7101485441875934,0.2899365283370246,0.6152758278626275
MSN,-0.003010684970959541,-0.2156334231805931,-0.6974798842929677,0.3034554849321869,0.6250702577453354
MWG,-0.001078055008880146,-0.14551474065899417,-0.7642901933817514,0.23578370066882465,0.6609091551522573
PLX,0.0008084481351701594,0.18792460051669657,-0.5407051415531762,0.45486148682578414,0.5345773313671506
SAB,-0.0011450295204723329,-0.19102237326536453,-0.5738333563571704,0.4254147799725217,0.5467533140677393
SHB,-0.0005818269092305473,-0.34043308484202994,-0.7017170773300399,0.2973589899958226,0.6967242493255619
SSB,0.0001492977487639811,0.0716107097322567,-0.432245032113327,0.5625681136020098,0.5084467662665502
SSI,-0.0006406643306292925,-0.10841786325912284,-0.767555772485883,0.23235995175627605,0.654887854581038
STB,0.0004265156242499899,0.034688995215311325,-0.8537290504073686,0.14827669113720376,0.7520427769486906
TCB,-0.0004916008256132102,-0.1480931154036652,-0.6642532418586662,0.3343658745047903,0.5749647198544359
TPB,-7.592569481111738e-05,0.04101838755304099,-0.8382266831516288,0.16074225661418587,0.7301445592909646
VCB,-0.002006658666538668,-0.24639781051275889,-0.6423125036970546,0.35736207680909643,0.6009889140513748
VHM,0.0004619977919646667,0.1697827185447187,-0.7169719172158117,0.2830787196871184,0.6230086765742099
VIB,-0.0006156655306484897,-0.2315548145060442,-0.6140300884999299,0.38581806380995787,0.5795065391102706
VIC,-0.001735842173474777,-0.22573656845753887,-0.54689709005991,0.45348120627104516,0.5557016430440759
VJC,-0.0013724763596217485,-0.14462457337883916,-0.5398731213660306,0.460765240262177,0.5246857447237315
VNM,-0.0005938539816637123,0.0034757544930474893,-0.6690381720701066,0.330922273594377,0.5571340603796288
VPB,-0.00024965391446263405,-0.12882679268543318,-0.7868929423627361,0.21341112438378035,0.6813412155917263
VRE,-0.0020227331637306207,-0.3774136922176713,-0.4914956642220681,0.5081983761362414,0.6422787639794314
