Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,South Asia (IDA & IBRD),TSA,30.4132148652204,34.2968695759476,31.1502727786554,40.588196141192,42.0981324340341,39.674050044492,57.7064249024807,64.2178954960537,46.1525275240681,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Sub-Saharan Africa,SSF,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Sub-Saharan Africa (excluding high income),SSA,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Upper middle income,UMC,72.048185118122,218.196516722541,107.280406924657,93.6976521380929,69.006570373346,91.8558911380766,162.107772515152,169.076177990069,133.513504521719,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,World,WLD,99.6029449296314,156.494996317053,122.525687914982,114.849475903076,116.705195361383,98.1105569588964,144.156321393633,143.162106619439,118.289042013941,..
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 01/28/2025,,,,,,,,,,,,,
