Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Chile,CHL,11.6318957877296,10.3358882491384,11.2674873138383,12.8858047744025,18.087472,9.3095424,11.235164,16.137509,14.4429878,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,China,CHN,199.157924385376,480.287296024602,249.907289144698,197.713255619425,206.654399,212.9575667,257.262685,279.550781,283.0379189,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Colombia,COL,11.731861544408,13.4796920963127,13.0127091680836,11.3296525141256,13.1561,10.5308,9.4061,7.9163,9.5044,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Comoros,COM,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Costa Rica,CRI,4.7683,2.2036,1.2325,1.839,1.9255,1.6505,1.5927,1.5828,1.9582,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Cote d'Ivoire,CIV,3.40705697499658,4.17712916722364,5.27361435973611,..,..,1.8616,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Croatia,HRV,..,..,..,..,1.1982,1.4628,1.6773,1.2483,1.2601,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Cuba,CUB,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Curacao,CUW,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Cyprus,CYP,1.40436616224262,4.86183330857228,3.21956790819625,2.44924367339405,1.683,1.3074,0.8305,0.5069,0.708,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Czechia,CZE,..,..,..,..,19.1355,14.5577,15.89,13.3762,19.6298,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Denmark,DNK,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Dominica,DMA,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Dominican Republic,DOM,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Ecuador,ECU,..,..,..,..,..,..,..,..,..,..
