time,high,low
2025-01-01,,
2025-01-02,26.35,25.9
2025-01-03,25.95,25.35
2025-01-04,,
2025-01-05,,
2025-01-06,25.5,24.85
2025-01-07,25.35,24.5
2025-01-08,24.8,24.45
2025-01-09,24.95,24.4
2025-01-10,24.55,23.5
2025-01-11,,
2025-01-12,,
2025-01-13,24.3,23.55
2025-01-14,24.2,23.9
2025-01-15,24.35,24.0
2025-01-16,25.2,24.3
2025-01-17,24.6,24.25
2025-01-18,,
2025-01-19,,
2025-01-20,24.65,24.35
2025-01-21,24.8,24.4
2025-01-22,24.75,24.4
2025-01-23,25.25,24.45
2025-01-24,25.25,25.0
2025-01-25,,
2025-01-26,,
2025-01-27,,
2025-01-28,,
2025-01-29,,
2025-01-30,,
2025-01-31,,
2025-02-01,,
2025-02-02,,
2025-02-03,25.05,24.75
2025-02-04,25.45,24.8
2025-02-05,25.45,25.05
2025-02-06,25.4,25.05
2025-02-07,25.2,24.95
2025-02-08,,
2025-02-09,,
2025-02-10,25.15,24.65
2025-02-11,25.0,24.65
2025-02-12,25.05,24.75
2025-02-13,24.9,24.7
2025-02-14,25.3,24.9
2025-02-15,,
2025-02-16,,
2025-02-17,25.35,24.8
2025-02-18,25.3,25.0
2025-02-19,25.4,25.05
2025-02-20,25.55,25.25
2025-02-21,25.4,25.15
2025-02-22,,
2025-02-23,,
2025-02-24,25.85,25.25
2025-02-25,26.2,25.75
2025-02-26,26.1,25.6
2025-02-27,26.1,25.6
2025-02-28,26.8,26.2
