"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.13495843360719","4.97008099605277","4.95803268372982","4.70233475981971","4.66063596834157","4.66102598108558","4.81172653763728","4.89087108003046","4.91667243206998","4.91117070332044","5.03756850682285","5.05669117729243","5.22397277034305","5.14498774955334","5.18335414324746","5.44472270499234","5.70495289198915","5.83469808907536","5.7448513153815","5.7362800341378","5.97489392268969","6.10609553592898","6.14875730220259","6.27486069150818","6.33006150732291","","","","","","","","","",
"Afghanistan","AFG","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.89386352112903","6.62156832737694","6.54280741195132","6.32453953844919","6.38511603805536","6.33234968634626","6.32179105340103","6.37816876141598","6.50252834762782","6.29753277945869","6.48199772429221","6.50069129839984","6.88118549929663","6.93270320407004","7.28201276597527","7.39296465130727","7.66408894801031","7.79954165194988","7.82774676959808","8.31661916061596","8.32280055018854","8.31151881304349","8.31783689194634","8.65136496755309","9.09083308576297","","","","","","","","","",
"Angola","AGO","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.6076653236411","14.4074616838228","13.4910829842377","9.90231143052932","9.89960084549422","11.393640571502","12.5720738287469","13.1991547306069","13.853299396661","13.4768061057742","13.5207851666245","13.4956517710447","14.6627625392439","13.9943619047994","15.0912818041123","17.9632752872636","18.2633045499146","19.5206772559289","20.0485118818815","18.6067838064135","18.518424519288","18.4485612055161","18.2473050257061","19.1272515928416","18.9749083333767","","","","","","","","","",
"Albania","ALB","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.55113451728917","6.73739383062856","8.61487933965357","9.63221958416123","9.80945244040865","11.8346279753249","12.0981623144531","12.6282682187708","12.4658450021139","10.4875764593131","11.2039504890635","11.9036350256289","11.2938430124372","12.1821698427784","11.6945268951682","12.3322567277744","13.3794456097873","14.8549043714529","15.3927312457555","15.5448988402908","16.2716375606704","15.947465282201","18.0152949400749","15.6487143203747","15.8187332000875","","","","","","","","","",
"Andorra","AND","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.5714554621462","10.0438782668783","9.66962261800203","9.32681958310152","9.08560043838353","9.12994960852271","9.22117991825302","9.36970543676614","9.75806503169717","9.98473659597989","10.3869424145383","9.90600534206601","9.55743692047058","9.73034053955775","9.98667229898315","9.90235348523","9.8146061919976","9.83330161411308","9.6757652628703","9.31841722005984","9.20693713992089","9.53133440839139","9.11856854105616","9.36015277244761","9.19973890549749","","","","","","","","","",
"United Arab Emirates","ARE","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0428596883108","8.80795489223863","9.56303524843749","9.20730801674923","8.88267127241096","8.91842625182103","8.93677180691988","9.15292832479799","8.97663583354014","9.0461474625531","10.2569226683726","8.15490359051696","8.4217886142884","9.31351437663012","9.56522051268703","9.4333923601551","9.98012132921955","9.48827982676643","8.27607660851652","7.75919421748729","7.66160011732007","7.8031656822822","7.47453549034715","7.67744941848832","7.93768468516853","","","","","","","","","",
"Argentina","ARG","GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0939599124309","12.8035420269633","13.1410988868735","14.178264950415","14.106008342678","13.5099973102881","13.749267081811","14.4033014613316","14.4631966971871","13.7382416792251","13.4701518514457","13.536083009105","12.4100213146675","12.6231970532149","12.5986483807882","13.6319346382888","13.5386122195791","14.5693758554326","14.3968142692675","13.9298232341049","14.7254878310982","15.2456819105864","15.0360657027969","14.9924615740963","14.0079984245912","","","","","","","","","",
