time,high,low
2024-01-01,,
2024-01-02,33.35,33.2
2024-01-03,33.59,33.11
2024-01-04,33.97,33.59
2024-01-05,34.07,33.78
2024-01-06,,
2024-01-07,,
2024-01-08,34.21,33.68
2024-01-09,34.07,33.35
2024-01-10,33.64,33.3
2024-01-11,34.12,33.54
2024-01-12,34.21,33.44
2024-01-13,,
2024-01-14,,
2024-01-15,33.88,33.35
2024-01-16,33.49,33.3
2024-01-17,33.88,33.25
2024-01-18,33.49,33.15
2024-01-19,33.64,33.4
2024-01-20,,
2024-01-21,,
2024-01-22,33.64,33.4
2024-01-23,33.68,33.4
2024-01-24,33.64,33.3
2024-01-25,33.49,33.2
2024-01-26,33.49,33.2
2024-01-27,,
2024-01-28,,
2024-01-29,33.49,33.2
2024-01-30,33.59,33.35
2024-01-31,33.49,33.25
2024-02-01,33.44,33.2
2024-02-02,33.49,33.25
2024-02-03,,
2024-02-04,,
2024-02-05,33.49,33.2
2024-02-06,33.4,33.25
2024-02-07,33.68,33.3
2024-02-08,,
2024-02-09,,
2024-02-10,,
2024-02-11,,
2024-02-12,,
2024-02-13,,
2024-02-14,,
2024-02-15,34.17,33.59
2024-02-16,34.02,33.68
2024-02-17,,
2024-02-18,,
2024-02-19,35.22,34.02
2024-02-20,35.13,34.65
2024-02-21,34.79,34.31
2024-02-22,34.94,34.31
2024-02-23,34.55,33.78
2024-02-24,,
2024-02-25,,
2024-02-26,33.92,33.59
2024-02-27,35.13,33.97
2024-02-28,35.61,34.55
2024-02-29,35.03,34.36
2024-03-01,34.74,34.36
2024-03-02,,
2024-03-03,,
2024-03-04,35.08,34.6
2024-03-05,34.65,34.31
2024-03-06,35.51,34.69
2024-03-07,36.09,34.94
2024-03-08,36.47,35.32
2024-03-09,,
2024-03-10,,
2024-03-11,35.37,34.55
2024-03-12,35.18,34.6
2024-03-13,35.71,35.13
2024-03-14,36.52,35.66
2024-03-15,36.38,35.85
2024-03-16,,
2024-03-17,,
2024-03-18,36.38,34.6
2024-03-19,36.28,34.98
2024-03-20,36.38,35.61
2024-03-21,37.24,35.75
2024-03-22,37.1,36.38
2024-03-23,,
2024-03-24,,
2024-03-25,36.96,35.8
2024-03-26,36.57,35.71
2024-03-27,37.05,36.19
2024-03-28,36.72,36.04
2024-03-29,36.38,35.8
2024-03-30,,
2024-03-31,,
2024-04-01,36.38,35.75
2024-04-02,36.52,35.61
2024-04-03,36.67,36.09
2024-04-04,36.19,35.66
2024-04-05,36.62,35.61
2024-04-06,,
2024-04-07,,
2024-04-08,36.04,35.66
2024-04-09,35.95,35.46
2024-04-10,35.9,35.18
2024-04-11,35.13,34.74
2024-04-12,35.56,34.98
2024-04-13,,
2024-04-14,,
2024-04-15,35.8,33.49
2024-04-16,34.94,33.83
2024-04-17,34.65,33.88
2024-04-18,,
2024-04-19,33.97,33.25
2024-04-20,,
2024-04-21,,
2024-04-22,33.88,33.25
2024-04-23,33.97,33.25
2024-04-24,33.97,33.64
2024-04-25,33.92,33.59
2024-04-26,34.36,33.68
2024-04-27,,
2024-04-28,,
2024-04-29,,
2024-04-30,,
2024-05-01,,
2024-05-02,34.69,33.92
2024-05-03,34.84,34.5
2024-05-04,,
2024-05-05,,
2024-05-06,35.42,35.03
2024-05-07,37.39,35.42
2024-05-08,38.88,36.67
2024-05-09,39.07,37.77
2024-05-10,39.17,38.21
2024-05-11,,
2024-05-12,,
2024-05-13,38.98,38.3
2024-05-14,38.7,37.3
2024-05-15,38.6,37.5
2024-05-16,38.85,38.1
2024-05-17,38.25,37.4
2024-05-18,,
2024-05-19,,
2024-05-20,38.55,38.0
2024-05-21,37.95,37.0
2024-05-22,38.2,37.4
2024-05-23,40.3,37.6
2024-05-24,42.4,40.25
2024-05-25,,
2024-05-26,,
2024-05-27,41.85,40.5
2024-05-28,41.9,41.1
2024-05-29,42.8,41.25
2024-05-30,41.45,40.35
2024-05-31,41.3,40.8
