"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1097254620.49166","1185714285.71429","1198276569.55273","1121936494.37562","1240030765.42349","1558290760.34776","1601937010.91682","1692914798.20628","1891036669.97027","1772487197.69745","1952969829.07219","2084836594.24206","2226637132.64149","2459315444.82264","3103200112.4754","3892154528.39411","4852783637.31866","6937583994.45817","8780604857.87141","7311605577.1418","7987634132.03142","8925576181.58875","9119854488.89524","9652152750.77837","9931611837.78154","8222722298.85515","8047087721.00397","9225424401.06146","9941547464.7445","11363862739.8801","9522534232.86141","9887790062.92554","13055651295.7055","15744497808.8055",
"American Samoa","ASM","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","312000000","332000000","357000000","367000000","375000000","384000000","407000000","398000000","401000000","411000000","420000000","446000000","463000000","460000000","463000000","471000000","487000000","509000000","533000000","602000000","621000000","",
"Antigua and Barbuda","ATG","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","10725121716.0195","11408321825.3315","11758881881.4211","12561922009.9075","13642722182.8355","14790722366.5156","15757282521.1652","17038562726.17","18559522969.5237","20198083231.6933","22352963576.4742","24614243938.279","28405373831.7757","34739269698.911","47602063375.0921","54367062679.2298","58603981637.1754","62562514338.1509","68524792810.5135","76417130523.6851","83858495821.727","99072332520.6084","108797307734.746","104701634594.327","109954429040.8","99202955301.5247","101991466144.376","106787983059.82","129719850291.907","162002853169.265","170299181308.69","184778368773.452","190128724338.575","180177768409.219","184555517122.103","211060291060.291","229084044701.028","246571065000.681","227699247100.319","224298157663.868","238739728849.154","220102801220.563","226549088365.284","270069306930.693","352314696258.358","395664708380.787","419414374684.598","478520059668.682","589859564494.151","500823886979.493","635409657019.043","753106442806.255","828911629863.822","860987287774.781","804665889997.586","757660797500.023","687834481513.618","736570561914.523","789361454748.396","753541137269.178","694609220975.887","791275117194.293","827032208115.99","869883159014.12",
"Austria","AUT","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","8482339772.42657","9889050556.22866","12074446097.982","16009432145.6181","19001290488.8104","22715303784.4671","24563575976.0681","29926573141.2872","34856337534.3504","41267965002.5733","46366405020.2085","40849464316.5716","41120159716.0603","42493480159.3381","39307519427.8248","40055490156.9566","56376190175.7548","70543779930.3439","75073413574.0555","74514275611.0244","93081889144.3786","96315013553.3294","109465926621.588","106682437004.614","113375429466.329","132422792411.628","131693332466.857","116528943511.106","118524021787.461","116520134718.946","106273427533.083","106874280336.351","114786816084.624","141846438574.098","162370935483.232","170088389295.315","178952276145.353","202437751521.397","223912107168.469","214866859741.933","209874682758","230432443345.428","218865446174.953","230852786955.091","236324599935.148","201233218392.711","206871945361.693","219100218184.565","236293727669.953","229217085285.804","216543272159.098","238651825859.841","241154519607.044","267094911476.828",
"Azerbaijan","AZE","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4672727272.72727","2713000000","283865313.653136","1031617904.47612","925570539.253929","2038950548.82187","2785227136.66793","2950663362.92068","3557249935.38382","3471462914.71337","3396172014.60387","3509975658.12715","3922589192.76994","4363098765.35668","4844733264.4073","5579101796.97722","7784922407.08717","11038964065.7993","16333706579.684","18937947182.2619","20826439073.0127","24573058152.2276","27503388935.2061","31075495098.4079","34187164609.5414","30088993952.5496","22231127978.4323","23533615508.1907","25506980224.3154","27703411764.7059","25994000000","28708411764.7059","34173058823.5294","38501705882.3529",
"Burundi","BDI","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","180250009.823355","187249991.816495","197750005.806205","223999999.78048","227499991.77705","142260148.013264","146169142.711809","155061714.131539","159533714.127092","163313142.694763","210278856.93378","221347428.369054","215300571.428571","259972738.056279","307786666.666667","385624126.984127","381737971.014493","423510000","492374444.444444","632213333.333333","840438888.888889","841312222.222222","927898877.777778","915723507.261969","847544891.821903","1012753291.07631","1070843316.98345","946915446.74652","948411678.478578","964107378.976095","1070392105.33999","1090462265.51266","983960120.593558","804853828.665568","867881658.968666","889763173.551998","710268981.337737","795186604.22875","782295061.802985","681560082.333736","803266672.81835","794413799.361715","772739086.85647","700565823.742403","806307454.651152","1009829934.76969","1198080786.26878","1234325189.26988","1492415181.72385","1495088723.12093","1646834649.82601","1926254355.26516","1975762139.57571","2183909086.16462","2313443360.14762","2340974554.61835","2051171892.38751","2077956387.81166","2078126642.56355","1991871963.00827","1984197695.62711","2079988960.38685","2471015149.22128","1996781703.71083",
"Belgium","BEL","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","13656453408.6325","15378808486.1442","19174373567.9589","24789169944.111","28750937241.0936","34535416255.3472","37271044932.0794","44148557118.7394","53701416677.3409","63014397358.2829","69389292316.1815","58943367014.3416","52571790570.3691","50221719132.1499","47097520245.7414","49406353013.1123","67707792125.6998","83790191247.9741","88925590784.4213","89000890663.3907","111243394495.413","115308238629.652","127096166875.784","120581092583.955","130551917048.469","152826628352.49","149313745928.339","133086265223.275","136805067792.843","134475835397.838","123871312985.569","124067975934.646","133161270908.51","162837438529.372","185499296377.723","193583805425.058","204326609990.117","233792452618.079","262411014130","248261368138.555","247633665315","269738239144.942","257720513409.492","273737745003.726","277391628015.097","237358203642.695","244179948744.514","258783748926.118","281309859485.098","275017720505.098","259818204392.997","293116165565.887","295771350565.176","324705401330.986",
"Benin","BEN","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","190937434.757312","198226226.783515","201768720.822236","219789230.311409","239474908.220796","260953617.764307","279732804.552155","278874463.885174","288382052.167746","291279032.181241","293438584.960778","300607308.801914","364819948.886001","440066010.29176","489943603.835718","611426460.096429","648069340.25422","694115366.566712","869772642.288128","1096768385.73136","1373021175.19132","1332352682.77905","1067738025.05821","942758503.935523","892862596.356408","927419236.648715","1165306160.93683","1362575513.85711","1449406891.36704","1328149045.11309","1484237576.4728","1562930949.34446","1371316733.16261","1800090816.73183","1187550246.15282","1588055132.12216","1710791898.30063","1646821716.90174","1820133919.7598","3015452302.22471","2888101218.55334","3031375619.99393","3426575030.11688","4297327900.36561","4880892659.56831","5323184953.63534","5705975755.87913","6460306525.87664","7783197471.94821","7663555018.71435","7482080038.61662","8344171578.85898","8527445808.39183","9282602696.35672","9693561458.84211","8560727091.95439","8655442793.01962","9224704686.37711","10047825820.5023","9850881042.10613","10651672687.9239","11903774950.9637","10622629329.8856","11606565835.2967",
"Burkina Faso","BFA","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","291246352.83802","305060654.341569","330069988.165689","342602051.485127","350033041.231866","364714365.693228","379028558.782308","405694165.686474","404637815.600636","422157413.762288","396303181.971484","410328684.247996","478866839.864345","540062069.768545","556054484.576926","736701854.62471","757285016.117188","959758777.289553","1239352031.00863","1502627013.82658","1739937161.45417","1616918684.78692","1465127723.84767","1312443294.73645","1204433415.37213","1255173586.83315","1646385377.24728","1838045897.72342","2022812144.79916","1944657892.74028","2280041495.48711","2193416685.87068","2337771737.40263","2269187634.07646","1091590702.61178","1507242159.26907","1751580569.95253","1582817424.41678","1931221856.90517","3023220281.3058","2634535890.88595","2724529246.98112","3098567484.86071","3929206990.82393","4577434964.52386","5109589624.28065","5366637813.37296","5958849502.32445","7531339281.19975","7325082524.49025","7237838576.83459","8298694002.55822","8684040554.79574","9614876903.20655","9791138142.69856","8462728354.20114","8824040588.95055","9389991591.41782","10214023184.9314","9881903346.30218","10677615415.6146","12029338142.5653","12042274484.6416","13125394816.0125",
