period,quarter,year,price_to_earning,price_to_book,roe,earning_per_share,equity_on_liability,asset_on_equity,equity_on_total_asset,roa,payable_on_equity,book_value_per_share_change,eps_change,book_value_per_share,company
2024-Q4,4,2024,23.3,6.2,0.287,5340.0,1.0,2.4,0.414,0.119,1.0,0.003,0.049,20253.0,FPT
2024-Q3,3,2024,26.2,6.6,0.281,5091.0,1.1,2.3,0.439,0.116,0.9,0.08,0.049,20184.0,FPT
2024-Q2,2,2024,26.7,6.9,0.277,4854.0,1.0,2.4,0.421,0.114,1.0,0.024,0.054,18684.0,FPT
2024-Q1,1,2024,21.7,5.5,0.274,4605.0,1.0,2.3,0.433,0.12,1.0,0.074,0.047,18241.0,FPT
2023-Q4,4,2023,18.7,4.9,0.281,4398.0,1.0,2.4,0.414,0.116,1.0,0.057,0.062,16987.0,FPT
2023-Q3,3,2023,19.2,5.0,0.28,4142.0,0.8,2.6,0.381,0.104,1.2,-0.021,0.049,16065.0,FPT
2023-Q2,2,2023,15.9,3.8,0.266,3948.0,0.9,2.5,0.399,0.099,1.1,0.069,0.047,16417.0,FPT
2023-Q1,1,2023,15.3,3.8,0.266,3772.0,1.1,2.2,0.445,0.104,0.9,0.074,0.048,15355.0,FPT
2022-Q4,4,2022,15.6,3.9,0.272,3599.0,1.0,2.5,0.407,0.101,1.0,0.057,0.01,14297.0,FPT
2022-Q3,3,2022,16.5,4.3,0.284,3565.0,0.8,2.8,0.361,0.101,1.3,0.017,0.067,13524.0,FPT
2022-Q2,2,2022,18.6,4.7,0.271,3341.0,0.7,2.9,0.347,0.095,1.4,0.02,0.054,13296.0,FPT
2022-Q1,1,2022,20.1,4.9,0.26,3171.0,0.7,2.9,0.345,0.093,1.4,-0.077,-0.07,13040.0,FPT
2021-Q4,4,2021,18.9,4.6,0.257,3411.0,0.7,3.0,0.334,0.091,1.5,0.056,0.079,14128.0,FPT
2021-Q3,3,2021,24.0,5.7,0.251,3160.0,0.7,2.8,0.352,0.093,1.4,0.012,0.051,13373.0,FPT
2021-Q2,2,2021,23.6,5.4,0.241,3006.0,0.7,2.8,0.357,0.092,1.3,0.009,0.033,13218.0,FPT
2021-Q1,1,2021,18.6,4.1,0.236,2910.0,0.8,2.7,0.374,0.094,1.3,-0.087,-0.097,13101.0,FPT
2020-Q4,4,2020,12.7,2.9,0.238,3224.0,0.8,2.7,0.377,0.094,1.2,0.045,0.068,14351.0,FPT
