symbol,organ_name,icb_name2,icb_name3,icb_name4
NAC,Công ty Cổ phần Tư vấn Xây dựng Tổng hợp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
HD6,Công ty Cổ phần Đầu tư và Phát triển nhà số 6 Hà Nội,Bất động sản,Bất động sản,Bất động sản
NAP,Công ty Cổ phần Cảng Nghệ Tĩnh,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
BAB,Ngân hàng Thương mại Cổ phần Bắc Á,Ngân hàng,Ngân hàng,Ngân hàng
HEV,Công ty Cổ phần Sách Đại học - Dạy nghề,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
L14,Công ty Cổ phần Licogi 14,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
NAS,Công ty Cổ phần Dịch vụ Hàng không Sân bay Nội Bài,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
DTA,Công ty Cổ phần Đệ Tam,Bất động sản,Bất động sản,Bất động sản
VET,Công ty Cổ phần Thuốc Thú y Trung ương NAVETCO,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
NBB,Công ty Cổ phần Đầu tư Năm Bảy Bảy,Bất động sản,Bất động sản,Bất động sản
NBC,Công ty Cổ phần Than Núi Béo - Vinacomin,Tài nguyên Cơ bản,Khai khoáng,Khai thác Than
MEF,Công ty Cổ phần MEINFA,Y tế,Thiết bị và Dịch vụ Y tế,Dụng cụ y tế
AGF,Công ty Cổ phần Xuất nhập khẩu Thủy sản An Giang,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
DDM,Công ty Cổ phần Hàng hải Đông Đô,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
CKG,Công ty Cổ phần Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang,Bất động sản,Bất động sản,Bất động sản
HPX,Công ty Cổ phần Đầu tư Hải Phát,Bất động sản,Bất động sản,Bất động sản
NBE,Công ty Cổ phần Sách và Thiết bị Giáo dục Miền Bắc,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
NBP,Công ty Cổ phần Nhiệt Điện Ninh Bình,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
TVH,Công ty Cổ phần Tư vấn Xây dựng công trình Hàng hải,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
CMD,Công ty Cổ phần Vật liệu xây dựng và Trang trí nội thất TP Hồ Chí Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
LGL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,Bất động sản,Bất động sản,Bất động sản
NAW,Công ty Cổ phần Cấp nước Nghệ An,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
HPD,Công ty Cổ phần Thủy điện Đăk Đoa,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
FID,Công ty Cổ phần Đầu tư và Phát triển Doanh nghiệp Việt Nam,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
NCT,Công ty Cổ phần Dịch vụ Hàng hóa Nội Bài,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
MND,Công ty Cổ phần Môi trường Nam Định,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Chất thải & Môi trường
HND,Công ty Cổ phần Nhiệt điện Hải Phòng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
NDN,Công ty Cổ phần Đầu tư Phát triển Nhà Đà Nẵng,Bất động sản,Bất động sản,Bất động sản
NAV,Công ty Cổ phần Nam Việt,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
NDX,Công ty Cổ phần Xây lắp Phát triển Nhà Đà Nẵng,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
NEM,Công ty Cổ phần Thiết bị Điện Miền Bắc,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện
HPW,Công ty Cổ phần Cấp nước Hải Phòng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
