symbol,organ_name,icb_name2,icb_name3,icb_name4
GMX,Công ty Cổ phần Gạch ngói Gốm xây dựng Mỹ Xuân,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
INC,Công ty Cổ phần Tư vấn Đầu tư IDICO,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
INN,Công ty Cổ phần Bao bì và In Nông nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
RYG,Công ty Cổ phần Sản xuất và Đầu tư Hoàng Gia,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
POV,Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
DP1,Công ty Cổ phần Dược phẩm Trung ương CPC1,Y tế,Dược phẩm,Dược phẩm
PIT,Công ty Cổ phần Xuất nhập khẩu Petrolimex,Bán lẻ,Bán lẻ,Bán lẻ phức hợp
ACG,Công ty Cổ phần Gỗ An Cường,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ
HPH,Công ty Cổ phần Hóa Chất Hưng Phát Hà Bắc,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
DTP,Công ty Cổ phần Dược phẩm CPC1 Hà Nội,Y tế,Dược phẩm,Dược phẩm
