period,short_asset,cash,short_invest,short_receivable,inventory,long_asset,fixed_asset,asset,debt,short_debt,long_debt,equity,capital,other_debt,un_distributed_income,minor_share_holder_profit,payable
2024,287466,28991,3270,171858,48723,273258,14693,560724,340281,43306,37986,220443,41074,125972,0.0,18362,340281
2023,242341,14103,3834,132871,55318,202290,11671,444631,261994,18290,38394,182636,43544,87254,0.0,3335,261994
2022,196535,10817,6297,96209,64362,165277,9340,361813,213291,15330,20876,148522,43544,51462,0.0,3309,213291
2021,94437,4626,4979,37750,28579,136079,7498,230516,99109,251,19668,131407,43544,31905,0.0,6666,99109
2020,102312,13714,2054,34592,42984,113014,5907,215326,126196,10998,13958,89130,33495,34033,0.0,3429,126196
2019,139555,13332,361,47468,60297,57686,690,197241,132526,18162,8343,64715,33495,46670,0.0,8619,132526
2018,91203,3515,1009,43356,36858,28486,128,119689,71544,6403,25506,48145,33495,10673,,4912,71544
2017,44421,1562,0,24775,17006,6883,1356,51304,41180,8700,6628,10124,2000,5763,0.0,3220,41180
2016,16492,2802,0,4616,8475,21029,3643,37521,27972,9157,0,9549,2000,3404,,7347,27972
