time,high,low
2023-01-01,,
2023-01-02,,
2023-01-03,49.4,47.0
2023-01-04,49.9,49.0
2023-01-05,50.0,49.0
2023-01-06,50.3,49.5
2023-01-07,,
2023-01-08,,
2023-01-09,50.5,49.7
2023-01-10,50.4,49.75
2023-01-11,50.9,49.8
2023-01-12,51.7,51.0
2023-01-13,52.0,51.1
2023-01-14,,
2023-01-15,,
2023-01-16,52.3,51.3
2023-01-17,52.0,49.55
2023-01-18,52.9,50.9
2023-01-19,53.4,51.5
2023-01-20,,
2023-01-21,,
2023-01-22,,
2023-01-23,,
2023-01-24,,
2023-01-25,,
2023-01-26,,
2023-01-27,53.9,51.9
2023-01-28,,
2023-01-29,,
2023-01-30,53.5,51.5
2023-01-31,51.8,50.4
2023-02-01,50.9,48.0
2023-02-02,49.2,47.7
2023-02-03,48.5,47.5
2023-02-04,,
2023-02-05,,
2023-02-06,48.0,47.1
2023-02-07,48.0,46.05
2023-02-08,46.7,44.45
2023-02-09,46.7,45.3
2023-02-10,45.75,45.0
2023-02-11,,
2023-02-12,,
2023-02-13,45.0,43.4
2023-02-14,44.2,42.2
2023-02-15,42.7,41.6
2023-02-16,42.75,42.0
2023-02-17,43.6,42.5
2023-02-18,,
2023-02-19,,
2023-02-20,46.3,43.4
2023-02-21,46.15,45.1
2023-02-22,44.8,42.6
2023-02-23,42.85,40.6
2023-02-24,42.0,40.9
2023-02-25,,
2023-02-26,,
2023-02-27,40.9,39.4
2023-02-28,41.95,40.4
2023-03-01,41.3,39.8
2023-03-02,41.5,40.45
2023-03-03,41.2,40.55
2023-03-04,,
2023-03-05,,
2023-03-06,43.2,41.5
2023-03-07,43.0,42.1
2023-03-08,42.35,41.3
2023-03-09,43.0,42.25
2023-03-10,43.0,42.0
2023-03-11,,
2023-03-12,,
2023-03-13,44.8,42.75
2023-03-14,45.35,44.1
2023-03-15,46.6,44.95
2023-03-16,45.8,44.25
2023-03-17,45.2,43.35
2023-03-18,,
2023-03-19,,
2023-03-20,44.1,42.55
2023-03-21,45.5,43.0
2023-03-22,48.0,45.6
2023-03-23,48.0,46.85
2023-03-24,49.85,48.0
2023-03-25,,
2023-03-26,,
2023-03-27,49.5,48.4
2023-03-28,49.5,47.0
2023-03-29,48.05,47.1
2023-03-30,49.95,48.1
2023-03-31,51.5,49.6
2023-04-01,,
2023-04-02,,
2023-04-03,53.7,52.0
2023-04-04,53.0,51.0
2023-04-05,52.3,50.6
2023-04-06,52.2,51.2
2023-04-07,51.5,50.3
2023-04-08,,
2023-04-09,,
2023-04-10,51.5,49.8
2023-04-11,51.7,49.3
2023-04-12,52.1,51.0
2023-04-13,51.7,50.3
2023-04-14,51.5,49.7
2023-04-15,,
2023-04-16,,
2023-04-17,50.9,50.0
2023-04-18,51.3,50.5
2023-04-19,51.2,50.0
2023-04-20,50.7,49.85
2023-04-21,50.7,49.9
2023-04-22,,
2023-04-23,,
2023-04-24,52.0,50.2
2023-04-25,51.2,49.85
2023-04-26,49.9,48.0
2023-04-27,48.7,46.85
2023-04-28,49.5,47.4
2023-04-29,,
2023-04-30,,
2023-05-01,,
2023-05-02,,
2023-05-03,,
2023-05-04,49.5,48.2
2023-05-05,49.5,48.6
2023-05-06,,
2023-05-07,,
2023-05-08,49.55,48.6
2023-05-09,49.5,48.75
2023-05-10,49.4,48.9
2023-05-11,49.5,48.95
2023-05-12,51.2,48.9
2023-05-13,,
2023-05-14,,
2023-05-15,52.5,51.5
2023-05-16,52.2,51.5
2023-05-17,53.9,52.2
2023-05-18,55.8,53.5
2023-05-19,55.5,53.5
2023-05-20,,
2023-05-21,,
2023-05-22,55.0,53.5
2023-05-23,54.5,53.0
2023-05-24,54.5,53.3
2023-05-25,55.6,54.0
2023-05-26,56.4,54.6
2023-05-27,,
2023-05-28,,
2023-05-29,56.3,55.0
2023-05-30,56.0,54.6
2023-05-31,55.0,53.5
2023-06-01,54.0,53.0
2023-06-02,53.9,53.0
2023-06-03,,
2023-06-04,,
2023-06-05,55.1,53.3
2023-06-06,55.0,53.9
2023-06-07,55.7,54.5
2023-06-08,56.0,55.1
2023-06-09,55.8,54.8
2023-06-10,,
2023-06-11,,
2023-06-12,55.5,54.4
2023-06-13,56.7,55.1
2023-06-14,58.2,56.7
2023-06-15,57.9,55.8
2023-06-16,56.9,55.0
2023-06-17,,
2023-06-18,,
2023-06-19,56.1,54.8
2023-06-20,55.7,54.5
2023-06-21,55.3,54.3
2023-06-22,55.7,54.7
2023-06-23,56.0,55.1
2023-06-24,,
2023-06-25,,
2023-06-26,55.8,54.8
2023-06-27,55.9,55.4
2023-06-28,56.2,55.0
2023-06-29,55.4,54.9
2023-06-30,55.5,54.3
2023-07-01,,
2023-07-02,,
2023-07-03,55.9,55.0
2023-07-04,56.8,55.5
2023-07-05,56.5,55.3
2023-07-06,55.9,54.5
2023-07-07,54.9,54.0
2023-07-08,,
2023-07-09,,
2023-07-10,54.4,53.6
2023-07-11,53.9,53.6
2023-07-12,55.3,53.9
2023-07-13,56.3,55.3
2023-07-14,56.6,55.8
2023-07-15,,
2023-07-16,,
2023-07-17,59.0,56.5
2023-07-18,59.4,58.0
2023-07-19,59.0,58.2
2023-07-20,58.5,57.3
2023-07-21,59.0,57.3
2023-07-22,,
2023-07-23,,
2023-07-24,59.5,58.1
2023-07-25,59.2,58.2
2023-07-26,59.0,58.3
2023-07-27,59.1,57.5
2023-07-28,58.9,57.4
2023-07-29,,
2023-07-30,,
2023-07-31,63.0,61.0
2023-08-01,66.2,62.8
2023-08-02,62.9,61.9
2023-08-03,62.2,60.1
2023-08-04,63.8,60.6
2023-08-05,,
2023-08-06,,
2023-08-07,63.7,61.6
2023-08-08,63.8,62.5
2023-08-09,62.7,60.6
2023-08-10,61.6,60.6
2023-08-11,62.5,59.8
2023-08-12,,
2023-08-13,,
2023-08-14,61.8,60.8
2023-08-15,62.5,60.9
2023-08-16,64.1,62.3
2023-08-17,62.6,61.0
2023-08-18,60.8,56.8
2023-08-19,,
2023-08-20,,
2023-08-21,57.2,55.7
2023-08-22,56.8,54.5
2023-08-23,56.9,54.4
2023-08-24,56.1,54.4
2023-08-25,55.5,54.0
2023-08-26,,
2023-08-27,,
2023-08-28,55.3,54.2
2023-08-29,55.8,54.4
2023-08-30,55.1,54.1
2023-08-31,55.9,54.7
2023-09-01,,
2023-09-02,,
2023-09-03,,
2023-09-04,,
2023-09-05,55.5,54.4
2023-09-06,57.0,55.4
2023-09-07,56.6,54.9
2023-09-08,55.5,54.0
2023-09-09,,
2023-09-10,,
2023-09-11,54.9,52.5
2023-09-12,53.5,52.0
2023-09-13,53.8,52.1
2023-09-14,52.3,49.0
2023-09-15,50.5,49.4
2023-09-16,,
2023-09-17,,
2023-09-18,50.5,48.7
2023-09-19,50.7,49.0
2023-09-20,50.9,49.5
2023-09-21,51.4,50.0
2023-09-22,49.45,47.85
2023-09-23,,
2023-09-24,,
2023-09-25,48.75,46.0
2023-09-26,47.8,45.0
2023-09-27,45.8,43.85
2023-09-28,45.5,44.05
2023-09-29,47.5,45.0
2023-09-30,,
2023-10-01,,
2023-10-02,46.2,45.2
2023-10-03,45.25,44.05
2023-10-04,45.4,43.25
2023-10-05,45.25,44.25
2023-10-06,46.15,44.55
2023-10-07,,
2023-10-08,,
2023-10-09,47.5,46.05
2023-10-10,48.0,46.9
2023-10-11,47.8,46.85
2023-10-12,48.0,47.35
2023-10-13,47.2,46.5
2023-10-14,,
2023-10-15,,
2023-10-16,47.0,45.55
2023-10-17,45.9,44.5
2023-10-18,45.8,43.0
2023-10-19,43.45,42.5
2023-10-20,44.8,41.7
2023-10-21,,
2023-10-22,,
2023-10-23,45.3,44.0
2023-10-24,45.0,44.0
