time,high,low
2023-10-25,79.5,77.96
2023-10-26,77.1,73.76
2023-10-27,75.47,74.01
2023-10-28,,
2023-10-29,,
2023-10-30,74.7,72.9
2023-10-31,73.16,71.18
2023-11-01,73.24,70.84
2023-11-02,76.33,73.67
2023-11-03,76.5,74.61
2023-11-04,,
2023-11-05,,
2023-11-06,76.24,75.3
2023-11-07,76.16,75.39
2023-11-08,79.42,75.47
2023-11-09,80.02,78.73
2023-11-10,79.5,78.3
2023-11-11,,
2023-11-12,,
2023-11-13,78.9,77.62
2023-11-14,80.1,78.3
2023-11-15,80.45,78.9
2023-11-16,79.76,78.56
2023-11-17,80.19,77.7
2023-11-18,,
2023-11-19,,
2023-11-20,79.42,76.42
2023-11-21,78.9,77.79
2023-11-22,79.85,78.82
2023-11-23,80.36,77.87
2023-11-24,78.9,77.36
2023-11-25,,
2023-11-26,,
2023-11-27,78.39,77.27
2023-11-28,78.82,77.1
2023-11-29,78.9,78.13
2023-11-30,80.36,78.3
2023-12-01,79.67,78.3
2023-12-02,,
2023-12-03,,
2023-12-04,80.62,79.42
2023-12-05,82.16,80.36
2023-12-06,81.82,80.7
2023-12-07,81.73,79.59
2023-12-08,81.56,80.19
2023-12-09,,
2023-12-10,,
2023-12-11,82.08,81.13
2023-12-12,83.02,81.73
2023-12-13,83.53,81.65
2023-12-14,82.68,81.65
2023-12-15,82.59,81.48
2023-12-16,,
2023-12-17,,
2023-12-18,82.51,80.36
2023-12-19,81.13,80.28
2023-12-20,81.48,80.7
2023-12-21,81.56,80.62
2023-12-22,81.56,80.96
2023-12-23,,
2023-12-24,,
2023-12-25,82.51,81.3
2023-12-26,84.56,82.68
2023-12-27,83.88,83.11
2023-12-28,83.19,82.59
2023-12-29,83.19,82.42
2023-12-30,,
2023-12-31,,
2024-01-01,,
2024-01-02,83.11,82.08
2024-01-03,82.76,81.82
2024-01-04,84.39,82.51
2024-01-05,83.62,82.76
2024-01-06,,
2024-01-07,,
2024-01-08,84.31,83.28
2024-01-09,83.45,82.85
2024-01-10,83.11,81.05
2024-01-11,81.82,81.22
2024-01-12,81.99,80.7
2024-01-13,,
2024-01-14,,
2024-01-15,82.25,81.39
2024-01-16,82.08,81.22
2024-01-17,82.33,81.48
2024-01-18,82.33,81.65
2024-01-19,83.11,82.08
2024-01-20,,
2024-01-21,,
2024-01-22,83.02,82.16
2024-01-23,82.68,81.82
2024-01-24,82.16,81.39
2024-01-25,82.08,81.3
2024-01-26,82.51,81.73
2024-01-27,,
2024-01-28,,
2024-01-29,82.42,81.73
2024-01-30,82.25,81.82
2024-01-31,82.33,81.9
2024-02-01,85.68,82.08
2024-02-02,87.65,85.85
2024-02-03,,
2024-02-04,,
2024-02-05,89.28,87.39
2024-02-06,90.05,88.25
2024-02-07,90.05,89.11
2024-02-08,,
2024-02-09,,
2024-02-10,,
2024-02-11,,
2024-02-12,,
2024-02-13,,
2024-02-14,,
2024-02-15,90.48,89.02
2024-02-16,90.14,89.02
2024-02-17,,
2024-02-18,,
2024-02-19,91.77,90.05
2024-02-20,90.22,89.19
2024-02-21,91.68,88.77
2024-02-22,90.91,89.71
2024-02-23,91.51,88.59
2024-02-24,,
2024-02-25,,
2024-02-26,92.63,88.77
2024-02-27,93.91,92.11
2024-02-28,93.05,91.17
2024-02-29,93.83,92.37
2024-03-01,95.54,93.57
2024-03-02,,
2024-03-03,,
2024-03-04,95.88,95.03
2024-03-05,95.54,94.25
2024-03-06,94.68,92.97
2024-03-07,97.69,92.8
2024-03-08,96.57,93.91
2024-03-09,,
2024-03-10,,
2024-03-11,97.34,94.34
2024-03-12,97.34,94.34
2024-03-13,100.34,96.06
2024-03-14,101.63,99.23
2024-03-15,100.17,98.2
2024-03-16,,
2024-03-17,,
2024-03-18,99.31,95.28
2024-03-19,96.91,95.28
2024-03-20,98.63,95.28
2024-03-21,99.66,98.29
2024-03-22,99.74,98.2
2024-03-23,,
2024-03-24,,
2024-03-25,98.71,97.6
2024-03-26,99.06,97.43
2024-03-27,98.89,97.86
2024-03-28,100.69,98.89
2024-03-29,100.52,99.49
2024-03-30,,
2024-03-31,,
2024-04-01,100.86,98.8
2024-04-02,100.34,98.97
2024-04-03,100.34,98.71
2024-04-04,99.31,97.77
2024-04-05,98.37,96.57
2024-04-06,,
2024-04-07,,
2024-04-08,97.51,96.57
2024-04-09,97.08,96.48
2024-04-10,99.14,97.17
2024-04-11,98.97,97.17
2024-04-12,99.4,98.03
2024-04-13,,
2024-04-14,,
2024-04-15,99.14,95.63
2024-04-16,97.08,95.63
2024-04-17,97.0,95.71
2024-04-18,,
2024-04-19,95.37,93.48
2024-04-20,,
2024-04-21,,
2024-04-22,95.54,93.4
2024-04-23,97.17,94.25
2024-04-24,103.0,97.08
2024-04-25,109.78,104.55
2024-04-26,107.55,104.8
2024-04-27,,
2024-04-28,,
2024-04-29,,
2024-04-30,,
2024-05-01,,
2024-05-02,110.64,105.92
2024-05-03,110.12,107.72
2024-05-04,,
2024-05-05,,
2024-05-06,109.44,106.78
2024-05-07,112.87,109.09
2024-05-08,112.35,110.89
2024-05-09,113.89,111.49
2024-05-10,113.38,110.81
2024-05-11,,
2024-05-12,,
2024-05-13,112.78,110.46
2024-05-14,112.95,111.15
2024-05-15,115.35,112.61
2024-05-16,117.75,115.1
2024-05-17,116.64,114.67
2024-05-18,,
2024-05-19,,
2024-05-20,116.72,114.07
2024-05-21,116.64,114.5
2024-05-22,119.81,116.72
2024-05-23,118.18,115.78
2024-05-24,118.35,112.01
2024-05-25,,
2024-05-26,,
2024-05-27,114.5,112.01
2024-05-28,117.5,114.15
2024-05-29,118.53,115.61
2024-05-30,115.78,113.12
2024-05-31,117.33,114.75
2024-06-01,,
2024-06-02,,
2024-06-03,118.01,115.52
2024-06-04,119.47,118.18
2024-06-05,124.27,119.81
2024-06-06,121.53,119.04
2024-06-07,121.79,120.5
2024-06-08,,
2024-06-09,,
2024-06-10,124.36,122.64
2024-06-11,125.64,122.73
2024-06-12,131.78,126.92
2024-06-13,132.88,129.1
2024-06-14,131.69,128.11
2024-06-15,,
2024-06-16,,
2024-06-17,130.49,127.61
2024-06-18,128.81,127.12
2024-06-19,131.88,125.73
2024-06-20,134.76,130.89
2024-06-21,135.16,132.38
2024-06-22,,
2024-06-23,,
2024-06-24,134.57,131.09
2024-06-25,130.2,127.71
2024-06-26,130.89,128.51
2024-06-27,133.17,129.9
2024-06-28,131.88,129.5
2024-06-29,,
2024-06-30,,
2024-07-01,129.5,127.61
2024-07-02,131.19,126.62
2024-07-03,131.88,129.2
2024-07-04,134.86,131.19
2024-07-05,138.74,135.16
2024-07-06,,
2024-07-07,,
2024-07-08,138.64,136.55
2024-07-09,138.34,135.06
2024-07-10,136.05,133.08
2024-07-11,134.47,131.59
2024-07-12,135.06,131.29
2024-07-13,,
2024-07-14,,
2024-07-15,133.87,131.39
2024-07-16,133.57,131.39
2024-07-17,133.17,129.0
2024-07-18,130.49,126.92
2024-07-19,128.41,125.13
2024-07-20,,
2024-07-21,,
2024-07-22,125.13,122.35
2024-07-23,126.62,123.94
2024-07-24,125.73,123.14
2024-07-25,124.63,123.24
2024-07-26,127.12,123.54
2024-07-27,,
2024-07-28,,
2024-07-29,129.7,128.11
2024-07-30,128.61,126.12
2024-07-31,127.71,125.73
2024-08-01,128.81,123.24
2024-08-02,123.94,120.17
2024-08-03,,
2024-08-04,,
2024-08-05,122.05,116.59
2024-08-06,121.06,118.97
2024-08-07,121.16,119.37
2024-08-08,121.56,120.07
2024-08-09,126.02,121.16
2024-08-10,,
2024-08-11,,
2024-08-12,129.3,125.33
2024-08-13,129.3,127.12
2024-08-14,130.59,128.61
2024-08-15,128.61,127.32
2024-08-16,130.1,128.21
2024-08-17,,
2024-08-18,,
2024-08-19,130.49,129.1
2024-08-20,131.59,129.8
2024-08-21,132.88,129.7
2024-08-22,133.57,132.58
2024-08-23,132.78,131.49
2024-08-24,,
2024-08-25,,
2024-08-26,132.58,130.59
2024-08-27,131.69,129.5
2024-08-28,133.57,131.98
2024-08-29,132.88,131.29
2024-08-30,133.97,132.08
2024-08-31,,
2024-09-01,,
2024-09-02,,
2024-09-03,,
2024-09-04,132.08,130.59
2024-09-05,132.08,128.81
2024-09-06,131.98,129.4
2024-09-07,,
2024-09-08,,
2024-09-09,130.99,129.2
2024-09-10,130.1,128.71
2024-09-11,130.39,128.9
2024-09-12,131.59,130.1
2024-09-13,132.48,131.09
2024-09-14,,
2024-09-15,,
2024-09-16,132.08,130.2
2024-09-17,131.98,130.29
2024-09-18,134.27,131.98
2024-09-19,134.86,133.37
2024-09-20,136.05,134.07
2024-09-21,,
2024-09-22,,
2024-09-23,134.96,132.48
2024-09-24,133.77,132.78
2024-09-25,133.87,132.68
2024-09-26,134.07,132.98
2024-09-27,133.47,132.58
2024-09-28,,
2024-09-29,,
2024-09-30,133.57,132.08
2024-10-01,135.26,133.77
2024-10-02,134.96,133.67
2024-10-03,135.16,133.08
2024-10-04,133.87,132.58
2024-10-05,,
2024-10-06,,
2024-10-07,133.97,132.68
2024-10-08,134.17,132.68
2024-10-09,134.86,133.37
2024-10-10,141.02,134.86
2024-10-11,141.81,138.64
2024-10-12,,
2024-10-13,,
2024-10-14,140.33,136.15
2024-10-15,137.64,135.66
2024-10-16,136.15,135.06
2024-10-17,136.15,134.57
2024-10-18,136.85,135.66
2024-10-19,,
2024-10-20,,
2024-10-21,136.75,134.57
2024-10-22,134.76,132.08
2024-10-23,133.87,131.69
2024-10-24,133.37,132.88
2024-10-25,133.67,132.68
2024-10-26,,
2024-10-27,,
2024-10-28,134.07,132.68
2024-10-29,134.57,133.87
2024-10-30,134.96,134.27
2024-10-31,135.06,134.37
2024-11-01,134.07,132.68
2024-11-02,,
2024-11-03,,
2024-11-04,133.67,131.78
2024-11-05,133.08,131.39
2024-11-06,133.67,132.08
2024-11-07,136.65,133.27
2024-11-08,135.86,134.17
2024-11-09,,
2024-11-10,,
2024-11-11,138.54,135.06
2024-11-12,137.94,134.96
2024-11-13,137.15,135.16
2024-11-14,138.93,135.06
2024-11-15,134.76,131.69
2024-11-16,,
2024-11-17,,
2024-11-18,133.67,131.59
2024-11-19,132.68,129.0
2024-11-20,131.49,125.83
2024-11-21,132.08,130.1
2024-11-22,133.47,131.59
2024-11-23,,
2024-11-24,,
2024-11-25,133.08,132.28
2024-11-26,134.96,132.38
2024-11-27,138.74,134.27
2024-11-28,139.03,137.35
2024-11-29,144.4,138.04
2024-11-30,,
2024-12-01,,
2024-12-02,146.0,141.6
2024-12-03,145.9,141.7
2024-12-04,146.3,142.8
2024-12-05,148.5,143.6
2024-12-06,151.9,148.0
2024-12-07,,
2024-12-08,,
2024-12-09,149.5,146.1
2024-12-10,149.5,147.0
2024-12-11,151.7,149.7
2024-12-12,151.9,149.2
2024-12-13,150.9,149.4
2024-12-14,,
2024-12-15,,
2024-12-16,150.6,149.5
2024-12-17,150.5,147.7
2024-12-18,149.8,148.0
2024-12-19,149.0,147.2
2024-12-20,150.6,148.3
2024-12-21,,
2024-12-22,,
2024-12-23,149.9,148.7
2024-12-24,150.8,149.4
2024-12-25,151.2,150.4
2024-12-26,151.4,149.1
2024-12-27,149.9,148.7
2024-12-28,,
2024-12-29,,
2024-12-30,150.8,148.5
2024-12-31,153.9,150.3
