time,open,high,low,close,volume
2025-01-02,94.87,95.32,94.56,95.05,33504900
2025-01-03,95.15,95.53,93.85,94.34,54857400
2025-01-06,94.34,94.44,93.4,93.62,39566300
2025-01-07,93.61,93.8,93.0,93.0,27604200
2025-01-08,92.94,93.54,92.89,93.54,50672300
2025-01-09,93.53,93.73,92.83,93.09,44123700
2025-01-10,93.09,93.19,91.82,92.15,42598400
2025-01-13,92.21,92.28,91.47,92.22,25958200
2025-01-14,92.22,92.37,91.69,92.12,22449500
2025-01-15,92.13,92.29,91.95,92.27,24327300
2025-01-16,92.27,92.63,92.21,92.42,23851800
2025-01-17,92.42,93.11,92.11,93.11,38573800
2025-01-20,93.11,93.43,92.61,92.8,31375000
2025-01-21,92.81,93.07,92.39,92.84,40160700
2025-01-22,92.84,93.36,92.75,93.11,27803700
2025-01-23,93.09,93.89,93.09,93.89,35554700
2025-01-24,93.88,94.3,93.86,94.3,61031600
2025-02-03,94.3,94.82,94.05,94.51,39249600
2025-02-04,94.51,95.32,94.51,95.31,47441700
2025-02-05,95.31,95.9,95.12,95.9,38522700
2025-02-06,95.9,96.75,95.86,96.74,51752500
2025-02-07,96.74,97.37,96.74,97.24,67614400
2025-02-10,97.27,97.4,96.47,96.63,58720300
2025-02-11,96.63,96.98,96.45,96.75,55012600
2025-02-12,96.75,97.05,96.66,96.8,49609200
2025-02-13,96.8,97.78,96.78,97.74,56968800
2025-02-14,97.74,98.77,97.59,98.35,88623800
2025-02-17,98.35,99.45,98.35,99.39,88317800
2025-02-18,99.39,100.12,99.15,99.51,78301100
2025-02-19,99.52,100.02,99.01,99.34,70641200
2025-02-20,99.34,100.1,99.34,100.08,79422400
2025-02-21,100.08,100.66,100.0,100.55,72276900
2025-02-24,100.61,101.18,99.82,100.21,65591500
2025-02-25,100.2,100.69,99.54,99.94,72054500
2025-02-26,99.97,100.41,99.59,99.76,60582500
2025-02-27,99.73,100.29,99.27,99.81,61420900
2025-02-28,99.81,100.01,99.32,99.58,64961100
