Series Name,Series Code,Country Name,Country Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Viet Nam,VNM,314947640805.601,323972192107.065,332245562394.77,359235578724.112,377364153384.169
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 01/28/2025,,,,,,,,
